# t Temp Pres Epot Etot
0.000000 2.012576 29.420169 -2695.744304 -1186.312132
0.050000 2.005131 29.166761 -2717.553950 -1213.705612
0.100000 1.986656 28.179173 -2804.242364 -1314.250201
0.150000 2.017971 28.612733 -2771.062527 -1257.584054
0.200000 1.984535 29.084423 -2724.191184 -1235.790177
0.250000 2.010682 28.716537 -2760.141616 -1252.130326
0.300000 2.011246 28.607393 -2771.356101 -1262.921794
0.350000 1.968297 29.199458 -2711.004642 -1234.782160
0.400000 2.024244 27.771694 -2840.186580 -1322.003460
0.450000 1.997501 28.939555 -2741.405358 -1243.279644
0.500000 1.997236 28.511515 -2777.088737 -1279.161709
0.550000 1.978477 29.339001 -2704.502173 -1220.644168
0.600000 2.014429 29.872324 -2661.014171 -1150.192475
0.650000 1.989145 28.498120 -2778.718161 -1286.859564
0.700000 1.982879 28.049695 -2811.627486 -1324.468154
0.750000 2.017546 27.603422 -2858.123028 -1344.963862
0.800000 1.964941 29.590668 -2677.776292 -1204.070293
0.850000 2.012608 28.640375 -2768.448592 -1258.992736
0.900000 1.985802 29.214832 -2715.708361 -1226.356970
0.950000 2.003175 28.254034 -2800.014802 -1297.633532
1.000000 1.992273 29.270343 -2710.761968 -1216.557230
1.050000 2.008527 29.120839 -2722.237056 -1215.842044
1.100000 1.998351 28.236588 -2798.476475 -1299.712878
1.150000 1.988840 28.097863 -2809.933282 -1318.303522
1.200000 1.998822 29.135539 -2714.999268 -1215.882951
1.250000 1.998384 28.703974 -2758.990488 -1260.202180
1.300000 1.976917 28.803291 -2749.279647 -1266.591792
1.350000 1.997475 29.838670 -2656.501221 -1158.395222
1.400000 1.979945 28.652232 -2762.790326 -1277.831724
1.450000 2.022978 29.078137 -2726.971799 -1209.738351
1.500000 2.002638 28.596522 -2765.698899 -1263.720397
1.550000 1.982086 28.240143 -2797.624949 -1311.060785
1.600000 1.979503 29.914519 -2650.103130 -1165.475507
1.650000 2.013791 29.269625 -2712.605985 -1202.262444
1.700000 1.981987 28.754547 -2755.133013 -1268.642580
1.750000 2.005444 29.529946 -2684.117383 -1180.034751
